State,2018,2019,2020,2021,2022,2023
CA,15644.983729745663,16320.96340423028,16630.930619492494,18620.39804344125,23994.864123121817,26429.53639836702
TX,8414.748758623211,9203.672234065998,9338.625172097058,9972.5288842143,11761.54889753155,14771.992085720123
FL,13465.20952387644,14345.24074224513,15000.620526338855,17098.10197693897,21338.220639064042,23432.175988930892
NY,8159.261574082208,9785.349694416087,9855.812756873975,11040.058481947526,13587.252487317592,16913.750307154343
PA,5796.515737569657,6192.8493089055355,6529.668481823027,7997.472031749784,9771.45518723707,12105.145114648876
